lr-AdamW,step,train_loss_step,train/mae_step,train/avg_gt_step,train/relative_mae_step,epoch,train_loss_epoch,train/mae_epoch,train/avg_gt_epoch,train/relative_mae_epoch,val_loss_step,val/mae_step,val/avg_gt_step,val/relative_mae_step,val_loss_epoch,val/mae_epoch,val/avg_gt_epoch,val/relative_mae_epoch
,329,0.0013994862092658877,0.03133755177259445,0.10578000545501709,0.2962521016597748,9,,,,,,,,,,,,
,17,,,,,,,,,,0.0008698766469024122,0.02031901106238365,0.09195023030042648,0.22097833454608917,,,,
,18,,,,,,,,,,0.00046311243204399943,0.018633324652910233,0.039159953594207764,0.4758259057998657,,,,
,19,,,,,,,,,,0.0003883383178617805,0.01622914895415306,0.07243724912405014,0.22404421865940094,,,,
,20,,,,,,,,,,0.0012843005824834108,0.023436345160007477,0.09695577621459961,0.2417219877243042,,,,
,21,,,,,,,,,,0.0008725185762159526,0.021814320236444473,0.08865968883037567,0.24604550004005432,,,,
,22,,,,,,,,,,0.0009395278757438064,0.02464146539568901,0.05721943825483322,0.43064841628074646,,,,
,23,,,,,,,,,,0.0004779195296578109,0.01767605170607567,0.025477152317762375,0.6937998533248901,,,,
,24,,,,,,,,,,0.0003071787650696933,0.014587875455617905,0.06866084039211273,0.21246278285980225,,,,
,25,,,,,,,,,,0.0009659663774073124,0.02091209590435028,0.11188463866710663,0.18690764904022217,,,,
,26,,,,,,,,,,0.000842186389490962,0.021705318242311478,0.10694815963506699,0.20295174419879913,,,,
,27,,,,,,,,,,0.00042287184624001384,0.01602381467819214,0.08197197318077087,0.19547916948795319,,,,
,28,,,,,,,,,,0.0004560309462249279,0.016923725605010986,0.07832591235637665,0.21606799960136414,,,,
,29,,,,,,,,,,0.00036047640605829656,0.016010066494345665,0.07550571858882904,0.21203777194023132,,,,
,30,,,,,,,,,,0.0007131369784474373,0.019216153770685196,0.06541398167610168,0.2937621474266052,,,,
,31,,,,,,,,,,0.00040647847345098853,0.013698538765311241,0.1331549882888794,0.10287664085626602,,,,
,32,,,,,,,,,,0.0017880331724882126,0.02484842762351036,0.08672043681144714,0.2865348160266876,,,,
